Table 1
NAME,GEOID,state_name,"Auto/Retail Debt Delinquency Rate, All","Auto/Retail Debt Delinquency Rate, Communities of Color","Auto/Retail Debt Delinquency Rate, Majority White Communities","Share of Subprime Consumers with Auto/Retail Delinquencies, All","Share of Near-Prime Consumers with Auto/Retail Delinquencies, All","Share of Prime Consumers with Auto/Retail Delinquencies, All","Share with Open Auto Debt, All","Share with Open Auto Debt, Communities of Color","Share with Open Auto Debt, Majority White Communities","Share with Open Auto/Retail Debt, All","Share with Open Auto/Retail Debt, Communities of Color","Share with Open Auto/Retail Debt, Majority White Communities","% population in rural areas, 2010 (Census)",poc_pct,"Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
"Yuma County, Arizona",04027,Arizona,.0318973,.0386579,.028777,.179803,.0059289,.0006658,.3230131,.3196924,.2885118,.3831791,.374897,.3590078,.1042958,.6992614,59182,54724,65286
"Arkansas County, Arkansas",05001,Arkansas,.0865801,n/a**,.0884956,.3214286,n/a*,0,.3584906,n/a**,.3535528,.3910806,n/a**,.3864818,.347074,.3023892,61946,40086,69914
"Ashley County, Arkansas",05003,Arkansas,.0885246,n/a*,.0912281,.3095238,.0147059,0,.3687405,n/a*,.3664495,.4567527,n/a*,.4576547,.5168169,.3176616,59845,33834,70400
"Baxter County, Arkansas",05005,Arkansas,.0273438,n/a**,.0279441,.1818182,.0232558,0,.263329,n/a**,.2629827,.3322497,n/a**,.3328895,.6584203,.0529124,59206,63154,59038
"Benton County, Arkansas",05007,Arkansas,.0377146,n/a**,.036478,.21489,.0082237,.000425,.3378562,n/a**,.3351899,.3982361,n/a**,.3989874,.2516005,.2739941,96757,80942,100667
"Boone County, Arkansas",05009,Arkansas,.0363289,n/a**,.035503,.1764706,.0105263,0,.3275316,n/a**,.3338816,.4113924,n/a**,.415296,.621982,.0612895,60651,71750,60148
"Bradley County, Arkansas",05011,Arkansas,.0461538,n/a**,n/a*,n/a*,n/a*,0,.3240741,n/a**,n/a*,.3981481,n/a**,n/a*,.4959159,.4450064,56779,37351,71582
"Calhoun County, Arkansas",05013,Arkansas,.0645161,n/a**,n/a*,n/a*,n/a*,n/a*,.4140625,n/a**,.4615385,.4765625,n/a**,.5164835,1,.2754237,58285,39088,64656
"Carroll County, Arkansas",05015,Arkansas,.0403458,n/a**,.0403458,.2592593,0,0,.2880979,n/a**,.2880979,.3837597,n/a**,.3837597,.7283393,.2037905,62300,44888,64862
"Chicot County, Arkansas",05017,Arkansas,.1119403,.2,n/a*,n/a*,n/a*,0,.3435583,.2926829,n/a*,.4018405,.347561,n/a*,.5427966,.6127179,50528,42784,61866
"Clark County, Arkansas",05019,Arkansas,.039823,n/a*,.0451977,.125,n/a*,0,.2857143,n/a*,.2860082,.3539683,n/a*,.3580247,.5437704,.3130975,54473,45120,58488
"Clay County, Arkansas",05021,Arkansas,.0231214,n/a**,.0231214,n/a*,n/a*,0,.3192389,n/a**,.3192389,.3636364,n/a**,.3636364,.5885718,.0466116,50617,35491,51223
"Cleburne County, Arkansas",05023,Arkansas,.0373563,n/a**,.0373563,.1896552,.0322581,0,.3290183,n/a**,.3290183,.3710895,n/a**,.3710895,.7552176,.0532669,61420,45209,61962
"Cleveland County, Arkansas",05025,Arkansas,.037037,n/a**,.0373832,n/a*,n/a*,0,.4200913,n/a**,.4193548,.4931507,n/a**,.4930876,1,.1542815,59231,39981,62370
"Columbia County, Arkansas",05027,Arkansas,.0823045,n/a*,.1025641,.2898551,n/a*,0,.2617354,n/a*,.2864078,.3342817,n/a*,.368932,.5748615,.4072594,54263,33157,68556
"Conway County, Arkansas",05029,Arkansas,.0367893,n/a*,.0371622,.1587302,.0181818,0,.389313,n/a*,.3898305,.4503817,n/a*,.4499229,.7051662,.18415,61828,55863,62990
"Craighead County, Arkansas",05031,Arkansas,.0478998,n/a**,.0431267,.1787879,.010101,.0041096,.3569704,n/a**,.3522562,.4034399,n/a**,.3995633,.3216822,.2396851,68763,58608,72014
"Crawford County, Arkansas",05033,Arkansas,.0328947,n/a**,.031746,.1578947,.0072993,0,.3187728,n/a**,.3193717,.3931357,n/a**,.3937173,.5196132,.1573184,62144,47942,64180
